feature,mean,scale
rms,39.724556566874185,29.614394368112976
std,39.724556592305504,29.614394579761953
peak_to_peak,279.73333333333335,271.79538055104774
zero_crossings,0.0492164092262586,0.027631805890292398
chunk_0_rms,39.925641511281334,31.86518610113031
chunk_0_zero_crossings,0.04712712704204023,0.03320780024641564
chunk_1_rms,41.089504890441894,36.89414062508859
chunk_1_zero_crossings,0.04731398035772145,0.03373411317712232
chunk_2_rms,39.02445421854655,32.16833012538471
chunk_2_zero_crossings,0.04911578247323632,0.03017973282410881
chunk_3_rms,38.50705879211426,29.457780560687944
chunk_3_zero_crossings,0.048808808643370866,0.03206948087946507
chunk_4_rms,36.62857915242513,27.991448875632386
chunk_4_zero_crossings,0.048048048031826815,0.029252987702453756
chunk_5_rms,38.314351908365886,34.117240020113364
chunk_5_zero_crossings,0.05025025022216141,0.031971079841583046
chunk_6_rms,38.589775473276774,28.255682958125707
chunk_6_zero_crossings,0.045352018700602154,0.031529666277486997
chunk_7_rms,43.085167249043785,41.42591571299683
chunk_7_zero_crossings,0.045979312484463054,0.030971487483554164
chunk_8_rms,39.03386381149292,33.78660046675138
chunk_8_zero_crossings,0.05066399728258451,0.03102689472006212
chunk_9_rms,35.128865534464516,22.73823268296443
chunk_9_zero_crossings,0.05059726379811764,0.031923528910174886
chunk_10_rms,40.416247266133624,37.9020045501391
chunk_10_zero_crossings,0.05002335683753093,0.031982767194673314
chunk_11_rms,36.70427632649739,28.935798794427274
chunk_11_zero_crossings,0.0507974636554718,0.03104161724386807
chunk_12_rms,36.081937859853106,29.86109945472007
chunk_12_zero_crossings,0.04951618270172427,0.031887114945340696
chunk_13_rms,36.27222495396932,30.87149586985425
chunk_13_zero_crossings,0.052932932926341894,0.03476533191636857
chunk_14_rms,37.175441411336266,28.764587268929432
chunk_14_zero_crossings,0.05067734396085143,0.03300482054360951
chunk_15_rms,34.76576825459798,23.352028107428694
chunk_15_zero_crossings,0.05027694374322891,0.032960993171850486
