feature,mean,scale
rms,39.724556566874185,29.614394368112976
std,39.724556592305504,29.614394579761953
peak_to_peak,279.73333333333335,271.79538055104774
zero_crossings,0.0492164092262586,0.027631805890292398
dominant_freq,65.48,119.65376272116697
spectral_centroid,1287.1194108072916,256.87998365058706
energy_0_500,0.43845356186230977,0.12781316058919198
energy_500_1000,0.16138885736465455,0.05149438656754188
energy_1000_2000,0.1812042393287023,0.045030130540209726
energy_2000_4000,0.13738147263725597,0.029617673044856418
energy_4000_8000,0.08156222000718116,0.02295456686490006
